"","Sym","Syn"
"942","Bcl2","AW986256|Bcl-|Bcl-2|C430015F12Rik|D630044D05Rik|D830018M01Rik"
"943","Vcp",NA
"944","Sacs",NA
"945","Mlxip",NA
"946","Asah2",NA
"947","Fyn",NA
"948","AA467197","NME|Nmes1|mir-147"
"949","Stx17","4833418L03Rik|6330411F21Rik|9030425C21Rik|AW048351"
"950","Traf6",NA
"951","Rab24","6530406O07Rik"
"952","Src",NA
"953","Trmt1","6720406L13Rik|6720477L24|D8Ertd812|D8Ertd812e"
"954","Prepl","2810457N15Rik|9530014L06Rik|D030028O16Rik|mKIAA0436"
"955","Pabpc5","C820015E17"
"956","Atg13",NA
"957","Slc9a6",NA
"958","Bid","2700049M22Rik|AI875481|AU022477"
"959","Nr3c1",NA
"960","Golph3","4733401N08Rik|5730410D03Rik|AW413496"
"961","Tomm34","2610100K07Rik|TOM3|TOM34"
"962","Cpt1c","6530437J22Rik|9630004I06Rik|CPT I-C|CPT IC|CPT1-B|CPTI-B"
"963","Cyp1b1",NA
"964","Recql4","RecQ4"
"965","Slc9b2",NA
"966","Ddah2",NA
"967","Trim31",NA
"968","Slc8b1","AF261233|NC|NCKX|NCKX6|NCLX|Slc2|Slc24a6"
"969","Mss51",NA
"970","Rps6kb1",NA
"971","Rab11fip5",NA
"972","Tyms",NA
"973","Secisbp2",NA
"974","Aifm3","2810401C16Rik|AI840249|Aifl"
"975","Xrcc3",NA
"976","Casp2",NA
"977","Pgrmc1",NA
"978","Dmpk","DM|DMK|Dm15|MDPK|MT-PK"
"979","Rnf5",NA
"980","Klk6",NA
"981","Jtb",NA
"982","Ppl",NA
"983","1600014C10Rik",NA
"984","Bcl2a1d","A1-|A1-d"
"985","Pin4",NA
"986","Styxl1","1700011C14Rik|Dusp|Dusp24|Mkstyx"
"987","Znfx1",NA
"988","Ogt",NA
"989","Cyp2e1",NA
"990","Spns1",NA
"991","Arl2bp",NA
"992","Ncstn",NA
"993","Wasf1",NA
"994","Sh3glb1",NA
"995","Pla2g4c",NA
"996","Pacs2",NA
"997","Tbc1d15",NA
"998","Rnasel",NA
"999","Smurf1",NA
"1000","Araf",NA
"1001","Pycard",NA
"1002","Traf3ip3",NA
"1003","Nos1",NA
"1004","Nlrp5",NA
"1005","Flvcr1",NA
"1006","Ppp2r2b",NA
"1007","Paics","2610511I09Rik|A|ADE2H|ADE2H1|AIRC|PAIS"
"1008","Hs1bp3",NA
"1009","Prkce",NA
"1010","Noct","AU043840|Ccr|Ccr4|Ccrn4l"
"1011","Dusp18",NA
"1012","Aifm2","5430437E11Rik|Am|Amid|D730001I10Rik|FSP1|PR|PRG3"
"1013","Capn10",NA
"1014","Tmem243",NA
"1015","Mmd",NA
"1016","Lrrc10",NA
"1017","Primpol","BC065112|Ccdc111"
"1018","Reep1",NA
"1019","Tmem14a",NA
"1020","Mycbp",NA
"1021","Olfm4",NA
"1022","Psen1",NA
"1023","Raf1",NA
"1024","Erbb4",NA
"1025","Atf2",NA
"1026","Ngrn","AW552001"
"1027","Nol3",NA
"1028","Slc25a53","2310046F18Rik|2810402A17Rik|AI448995|AI841128|Mcar|Mcart6"
"1029","Slc1a5",NA
"1030","Abcg3",NA
"1031","Kcnj1",NA
"1032","Stat3",NA
"1033","Clic4",NA
"1034","Vhl",NA
"1035","Plscr3","2210403O21Rik|2610037N06Rik|ESTM3|X83310"
"1036","Dusp21",NA
"1037","Esr2",NA
"1038","Sphkap","4930544G21Rik|A930009L15Rik|AI852220|S|SKIP|mKIAA1678"
"1039","Tdrd7",NA
"1040","Pigbos1","2310009A05Rik|5031420N21Rik"
"1041","Wdr82",NA
"1042","Ppp1r15a",NA
"1043","Efhd1","4931430I01Rik|AI452351|PP30|PP3051|mito|mitocalcin"
"1044","Ruvbl2",NA
"1045","Trim14",NA
"1046","Vps13c",NA
"1047","Sgk1",NA
"1048","Ubiad1",NA
"1049","Slc4a11",NA
"1050","Lrp2",NA
"1051","Slc8a3",NA
"1052","Bnip1",NA
"1053","Sesn2",NA
"1054","Mtus1",NA
"1055","Cry1","AU020726|AU021000|Ph|Phll1"
"1056","Ppan",NA
"1057","Napg",NA
"1058","Snca",NA
"1059","Slc11a2",NA
"1060","Bloc1s2",NA
"1061","Vrk2",NA
"1062","Slit3",NA
"1063","Gimap8",NA
"1064","Ercc8",NA
"1065","Stk11",NA
"1066","Txnip",NA
"1067","Cdk1",NA
"1068","BC048507",NA
"1069","Brinp3",NA
"1070","Adcy10","4930431D04Rik|4931412F17|Sa|Sacy|s|sAC"
"1071","Creb1",NA
"1072","Gper1",NA
"1073","Marveld1",NA
"1074","Prkaca","C|P|PKCD|Pk|Pkaca"
"1075","Nox4",NA
"1076","Ptpn11",NA
"1077","Bag5",NA
"1078","Acbd3",NA
"1079","Mlx",NA
"1080","Dgat2",NA
"1081","Tbl2",NA
"1082","Nf1",NA
"1083","Asic1",NA
"1084","Ripk3",NA
"1085","Acot11","1110020M10Rik|2010309H15Rik|AW060409|BFIT|BFIT1|The|Thea|Them1|mKIAA0707"
"1086","Snap23",NA
"1087","Pten",NA
"1088","Clu",NA
"1089","Capn1",NA
"1090","Mobp",NA
"1091","Atxn3",NA
"1092","Pop1",NA
"1093","Cyp1a1",NA
"1094","Fkbp5",NA
"1095","Akt1",NA
"1096","Muc1",NA
"1097","Foxm1",NA
"1098","Aph1a",NA
"1099","Wdr26",NA
"1100","Slc39a8",NA
"1101","Kcnj11",NA
"1102","Hap1",NA
"1103","Lpcat1",NA
"1104","Elk1",NA
"1105","Pif1","4631410M14|AI4494|AI449441"
"1106","Mark2",NA
"1107","Pex3",NA
"1108","Trp73",NA
"1109","Siah1b",NA
"1110","Nqo1",NA
"1111","Des",NA
"1112","Sri",NA
"1113","Tppp",NA
"1114","Trp53bp2",NA
"1115","Fate1",NA
"1116","Fhl4",NA
"1117","Fhl3",NA
"1118","Pnkp",NA
"1119","Nrp1",NA
"1120","Aptx",NA
"1121","Shc1",NA
"1122","Ccs",NA
"1123","Dnmt1",NA
"1124","Rheb",NA
"1125","Ulk1",NA
"1126","Ar",NA
"1127","P2ry12",NA
"1128","Foxo3",NA
"1129","Tfr2",NA
"1130","Kcnma1",NA
"1131","Slc44a2",NA
"1132","Pick1","Prk|Prkcabp"
"1133","Dnmt3a",NA
"1134","Mlh1",NA
"1135","Sphk2","C76851|Sk2|Spk2"
"1136","Mapt",NA
"1137","Tmem135",NA
"1138","E2f1",NA
"1139","Spire1","6030430B19Rik|AI415299|AU022898|AW550622|Sp|Spir-1"
"1140","Atp7b",NA
"1141","Otx2",NA
"1142","Bmf",NA
"1143","P2ry1",NA
"1144","Hmga1b",NA
"1145","Foxo1",NA
"1146","Nbr1","mKIAA0049"
"1147","Cast",NA
"1148","Clic5",NA
"1149","Ddit3",NA
"1150","Nr4a1",NA
"1151","Aqp8",NA
"1152","Polb","A430088C08Rik"
"1153","Tinf2",NA
"1154","Traf3",NA
"1155","Psap",NA
"1156","Atp5mg","4933437C06Rik|Atp5mg"
"1157","Atp5f1b","Atp5f1b"
"1158","Atp5f1d","0610008F14Rik|1500000I11Rik|AA960090|AI876556|AU020773|Atp5f1d|C85518"
"1159","Ldha","4933402O15Rik|AI326310|LD|LDHL|Ldhal"
"1160","Atp5pf","Atp5pf|CF6"
"1161","Atp5pd","0610009D10Rik|Atp5pd"
"1162","Atp5f1c","1700094F02Rik|Atp5f1c"
"1163","Atp5me","2610008D24Rik|Atp5i|Atp5me|Lfm|Lfm1"
"1165","Atp5f1e","2410043G19Rik|ATPE|AV000645|Atp5f1e"
"1166","Atp5f1a","AI035633|AL022851|AL023067|At|Atp5f1a|Atpm|D18Ertd206|D18Ertd206e|Mom|Mom2"
"1167","Atp5po","ATPO|Atp5po|D12Wsu28|D12Wsu28e|OSCP"
