"","Sym","Syn"
"144","Hibch","2610509I15Rik|HIBYL-C|HIBYL-COA-H"
"145","Hscb","AI325508|AW049829|Hsc20"
"146","Mrps5","1620401I16Rik|AI850294"
"147","Timm9","2810011L15Rik|Tim1|Tim10a|Timm1|Timm10"
"148","Ndufb5","0610007D05Rik|AU015782|CI-SGDH|SGDH"
"149","Sco2","-"
"150","Ndufa7","14.5kD|14.5kDa|2400007M02Rik|CI-B14.5a"
"151","Idh3b","C78231"
"152","Mrps10","1110038B19Rik|AW743084|Rpm|Rpms10"
"153","Mrpl20","2610008D01Rik|4930425I20Rik"
"154","Gls","6330442B14|AI314027|B230365M23Rik"
"155","Timm50","2810403L02Rik|AU015082|TIM5|TIM50L"
"156","Dhodh","2810417D19Rik|AI834883"
"157","Ears2","3230401I01Rik|mKIAA1970"
"158","Mcu","2010012O16Rik|AV064928|C10orf42|Ccdc109|Ccdc109a|D130073L02Rik|Gm64"
"159","Nadk2","MNA|MNADK|Nadk|Nadkd1"
"160","Ogdh","2210403E04Rik|2210412K19Rik|AA409584|d1401|mKIAA4192"
"161","Ndufs6","BC059730|IP|IP13"
"162","Mrps27","2610028H14Rik"
"163","Taco1","2310066I18Rik|Ccdc44"
"164","Hccs","-"
"165","Chchd6","0710001P09Rik|1700021B03Rik|Mico|Micos25"
"166","Dbt","BCKAD-E2|D3Wsu60|D3Wsu60e"
"167","Pdk2","-"
"168","Timm17b","17kD|17kDa|Sfc|Sfc3|mTim17|mTim17b"
"169","Micu2","1110008L20Rik|4833427E09Rik|AU041871|Efha|Efha1|Smhs2"
"170","Ndufs8","BC021616|CI-23kD|TYKY"
"171","Mrpl39","C21orf8|MRP|MRP-L5|ORF22|Rp|Rpml5"
"172","Acadm","AU018656|MCA|MCAD"
"173","Cox7a2l","COX|COX7AR|COX7RP|EB1|SIG|SIG-|SIG-81|SIG81|Silg81"
"174","Idh3g","-"
"175","Nnt","4930423F13Rik|AI323702|BB168308"
"176","Maoa","1110061B18Rik|AA407771|MA"
"177","Gatb","9430026F02Rik|Pet11|Pet112|Pet112l"
"178","Mrpl40","Nl|Nlvcf"
"179","Mrpl14","1110006I11Rik|AI846816|MRP-|MRP-L32|Rpm|Rpml32"
"180","Mcee","1110007A04Rik"
"181","Timm13","D10Ertd378|D10Ertd378e|Tim|Tim9|Timm|Timm9"
"182","Aars2","Aarsl|AlaRS|Gm89"
"183","mt-Nd1","-"
"184","Oxsm","4933425A18Rik|C80494"
"185","Cox7c","COX|COXVIIc|Cox7c1"
"186","Mrpl11","2410001P07Rik|L11mt"
"187","Mrps34","0610007F04Rik|5330430D13Rik|AV001970|Tce2"
"188","Ivd","1300016K07Rik|6720455E18Rik|AI463340"
"189","Mrpl41","MRP-|MRP-L27|Rpm|Rpml27"
"190","Lars2","AI035546|Kiaa0028|LEURS"
"191","Abcb8","4833412N02Rik|AA409895|MITOSUR"
"192","Ndufaf5","2310003L22Rik"
"193","Foxred1","BC024806|TEG-23|Tex23"
"194","Trmt10c","1300018J16Rik|D16Ertd454|D16Ertd454e|Rg9mtd|Rg9mtd1|Rnmtd1"
"195","Bcs1l","9130022O19Rik"
"196","Crat","AW107812|CA|CARAT"
"197","Coq7","clk-|clk-1"
"198","Timm17a","17kD|Tim17a|mTim1|mTim17a"
"199","Rtn4ip1","D10Ertd690|D10Ertd690e|N|NIMP"
"200","Mrps23","D11Bwg1153e|MRP-S23|Rpm|Rpms23|S23mt"
"201","Ndufa12","2410011G03Rik|AW112974|CI-B17.2|CIB17.2"
"202","Mpc2","0610006C01Rik|2010002I07Rik|2610205H19Rik|AA108335|Brp|Brp44|ESTM4|ESTM43"
"203","Timm10","Tim1|Tim13|Timm1|Timm13a"
"204","Ndufaf7","2410091C18Rik|AL033374|PRO1853"
"205","Pgam5","2610528A17Rik"
"206","Qrsl1","2700038P16Rik|C80053|Ga|GatA"
"207","Ccdc51","5730568A12Rik|AI551049|Mit|Mitok"
"208","Ndufa9","1010001N11Rik"
"209","Oat","AI194874|rh|rhg"
"210","Ndufv1","CI-51kD"
"211","D2hgdh","AA408776|AA408778|AI325464"
"212","Ndufv2","2900010C23Rik"
"213","Gpd2","AA408484|AI448216|AU021455|AW494132|GPDH|Gdm1|Gpd-m|Gpdh-m|TISP38"
"214","C1qbp","AA407365|AA986492|D11Wsu182|D11Wsu182e|HAB|HABP1|P3|P32|gC1qBP"
"215","Csl","1700007H16Rik"
"216","Idh2","E430004F23|ID|IDPm|Idh-|Idh-2"
"217","Ndufb6","CI-B17|Gm137"
"218","Cox7a2","COX|COX7AL|Cox7|Cox7a3|CoxVIIa-L"
"219","Tars2","2610024N01Rik|AI429208|Ta|Tarsl1|thrRS"
"220","Coq5","1810014G04Rik|D5Ertd33|D5Ertd33e"
"221","Uqcrb","2210415M14Rik|QP-|QP-C|QPC|UQBC|UQBP|UQPC"
"222","Sucla2","4930547K18Rik|A-SCS|SCS-betaA"
"223","Trap1","2410002K23Rik|HSP|HSP75"
"224","Hspa9","74kDa|C|Csa|GRP|Grp75|Hs|Hsc7|Hsc74|Hsp|Hsp74|Hsp74a|Hspa9a|Mortalin|Mot-2|Mot2|Mthsp70|PBP|Pbp74|mo|mot-|mthsp"
"225","Slirp","1810035L17Rik"
"226","Ecsit","Sit|Sitpec"
"227","Slc25a20","1110007P09Rik|C78826|CAC|Cact|mCA|mCAC"
"228","Fahd1","1110025H10Rik|AV002085"
"229","Pcca","C79630"
"230","Mrpl2","CGI-2|CGI-22|L2mt|MRP-|MRP-L14|MRP-L2|Rpm|Rpml14"
"231","Mrpl1","2410002L03Rik|5830418D04Rik|AI462572|L1mt"
"232","Nipsnap1","-"
"233","Ndufs5","AI256693"
"234","Clybl","0610033J05Rik|2310014M14Rik|AI256068|Cl|Clb"
"235","Gpt2","4631422C05Rik|AL|ALT2|AU014768|AU041193|C87201"
"236","Ndufaf1","2410001M24Rik|CGI-6|CGI-65|CIA|CIA30"
"237","Pdk1","B830012B01|D530020C15Rik"
"238","Cars2","2310051N18Rik|2410044A07Rik|D530030H10Rik|cysRS"
"239","Mtx1","Gca|Gcap6|Mtx"
"240","Pck2","1810010O14Rik|9130022B02Rik|PEPCK-M"
"241","Sars2","2410015F05Rik|D7Ertd353|D7Ertd353e|SerRS|SerRSmt"
"242","Mars2","C730026E21Rik|MetRS"
"243","mt-Co1","CoxI"
"244","Aldh6a1","1110038I05Rik|Mmsd|Mmsdh"
"245","Cpt1a","C730027G07|CP|CPTI|Cpt|Cpt1"
"246","Cyc1","2610002H19Rik|AA408921|Cyct1"
"247","Abhd10","-"
"248","Pdha1","Pdha|Pdha-1"
"249","Dnaja3","1200003J13Rik|1810053A11Rik|C81173|Tid-|Tid-1|Tid1l"
"250","Ak4","AK 4|Ak-|Ak-3|Ak-4|Ak3|Ak3l1|D4Ertd274|D4Ertd274e"
"251","Mrpl50","AA408971|AI317351|D4Wsu125|D4Wsu125e"
"252","Dhrs4","AI043103|AI790593|CR|D14Ucl|D14Ucla2|NDRD|PHCR|PSCD|R|RRD|mouNRDR"
"253","Bcat2","Bcat(m)|Bcat-|Bcat-2|Eca4|Eca40"
"254","Sardh","-"
"255","Mrpl17","MRP-|MRP-L26|Rpm|Rpml26"
"256","Acads","AI196007|Bcd-1|Bcd1|Hdlq|Hdlq8|SC|SCAD"
"257","Sfxn3","-"
"258","Mterf3","2410017I18Rik|Mterfd|Mterfd1"
"259","Ndufb8","2900010I05Rik|AI987932|CI-ASHI"
"260","Ndufc2","1810004I06Rik|2010300P09Rik|G1|R75094"
"261","Ndufb7","1110002H15Rik"
"262","Coa3","1810033A19Rik|Ccdc56|D11Ertd99|D11Ertd99e|HSPC009"
"263","Ndufs2","CI-49kD"
"264","Tomm20","1810060K07Rik|BB284719|Gm19268|MAS20|MOM19|TOM2|TOM20|mKIAA0016"
"265","Ndufa10","2900053E13Rik"
"266","Apool","6720473G16Rik|9430083G14Rik|E130106L15Rik|Mico|Micos27"
"267","Slc25a11","2310022P18Rik|2ox|2oxoc"
"268","Coq6","5930427M12Rik|AW742344"
"269","Tmem126a","1810020E01Rik"
"270","Mthfd1l","2410004L15Rik|AI647056|Fthfsdc|Fthfsdc1"
"271","Elac2","1110017O07Rik|D11Wsu80|D11Wsu80e|Hpc2"
"272","Mrps36","1110018B13Rik|S36mt"
"273","Clpx","AU014732|E330029I21"
