P1_A	P1_B	P2_A	P2_B	P3_A	P3_B	""
#!{Type}E	E	E	E	E	E	T
#!{C:Treatment}A	B	A	B	A	B	
#!{C:Expt}P1	P1	P2	P2	P3	P3	
23.9933452606201	22.9170684814453	24.7745475769043	23.0207271575928	24.1794967651367	23.9846801757813	P31596|EAA2_RAT
21.2820663452148	19.3794116973877	19.8131446838379	18.2980308532715	24.1487998962402	23.2389965057373	Q63965|SFXN1_RAT
23.8670291900635	21.988151550293	20.5998592376709	19.1444969177246	26.5681934356689	25.6622085571289	P24050|RS5_RAT
25.7103023529053	24.6430625915527	22.4576377868652	21.9060974121094	26.1565341949463	23.6757297515869	P04256|ROA1_RAT
25.4361896514893	24.4169960021973	22.559175491333	21.60964012146	25.2280254364014	24.7945156097412	P97523|MET_RAT
25.4456901550293	24.4551296234131	24.6152648925781	23.1441383361816	27.3910007476807	27.1889572143555	P16036|MPCP_RAT
25.0567245483398	23.9933452606201	23.310079574585	19.4636363983154	24.3778247833252	23.7076721191406	tr|F1MA97|F1MA97_RAT
25.9450302124023	25.0400924682617	24.1794967651367	24.0608520507813	24.5580081939697	23.5754241943359	P15146|MTAP2_RAT
25.9293117523193	24.904260635376	23.7076721191406	21.9494895935059	25.052583694458	24.2169704437256	Q64605|PTPRS_RAT
25.249885559082	24.3169994354248	20.1299514770508	19.0086078643799	25.498384475708	23.8857650756836	A7VJC2|ROA2_RAT
26.1074924468994	25.1449165344238	25.5165309906006	23.5869197845459	24.8996601104736	23.7895488739014	tr|D3ZEI4|D3ZEI4_RAT
27.9594745635986	27.2353496551514	25.1756954193115	23.1915950775146	28.0863857269287	26.8504314422607	tr|D4A7M0|D4A7M0_RAT
26.1054954528809	25.1292762756348	21.0950679779053	18.4995193481445	26.0211505889893	24.967191696167	Q9ESI7|DCX_RAT
24.6208686828613	23.5638370513916	21.6186294555664	18.8696670532227	24.6152648925781	21.924337387085	Q8K3M6|ERC2_RAT
23.6649227142334	21.9207077026367	19.8045749664307	18.2600059509277	20.1189308166504	20.4149723052979	P15791|KCC2D_RAT
26.8623065948486	26.0147819519043	25.8646697998047	24.310079574585	26.5594673156738	26.2243499755859	Q8R4E1|TIP_RAT
26.4846210479736	25.5869197845459	25.2020969390869	23.7795658111572	25.0400924682617	24.0442695617676	tr|F1LS01|F1LS01_RAT
24.187068939209	22.4800052642822	22.8112735748291	21.4118328094482	22.7450923919678	22.4475841522217	tr|A0A0G2JZA1|A0A0G2JZA1_RAT
24.4105396270752	23.4040565490723	25.6917896270752	23.045934677124	24.4105396270752	23.8670291900635	P62944|AP2B1_RAT
23.4676208496094	21.7715282440186	20.3832187652588	18.6435222625732	23.60964012146	22.8670291900635	Q71TY3|RS27_RAT
24.5983257293701	23.6208686828613	24.2243499755859	21.7347965240479	25.9955024719238	25.7155494689941	tr|F1M6P8|F1M6P8_RAT
27.508996963501	26.6458148956299	25.3409595489502	24.2243499755859	27.8080863952637	27.4938106536865	Q9R1K2|TEN2_RAT
25.8670291900635	24.7994651794434	24.461389541626	22.3910007476807	24.4105396270752	23.6430625915527	Q62786|FPRP_RAT
24.289119720459	23.2961406707764	20.2065753936768	20.0291786193848	24.4425296783447	23.8950424194336	tr|A0A096MIX2|A0A096MIX2_RAT
23.2678527832031	22.0756149291992	20.1706352233887	19.0229053497314	23.8575687408447	23.0674324035645	D4A6L0|GP158_RAT
25.0400924682617	24.0608520507813	19.5622577667236	19.0266189575195	24.967191696167	24.0274925231934	tr|D4A6H8|D4A6H8_RAT
26.9427967071533	27.9594745635986	26.632007598877	22.8442192077637	27.4784622192383	26.289119720459	P07153|RPN1_RAT
25.1054954528809	24.1794967651367	24.246265411377	22.8288097381592	25.5897808074951	24.5344524383545	D3ZPX4|PLXA3_RAT
22.9565982818604	21.9459247589111	20.7094383239746	19.0507335662842	22.8594646453857	18.6592712402344	O08678|MARK1_RAT
28.0813159942627	27.3494205474854	29.0243263244629	25.8599395751953	28.9202537536621	29.2076930999756	tr|G3V928|G3V928_RAT
24.1718826293945	23.2820663452148	19.359094619751	17.9182510375977	24.0853748321533	21.9636688232422	Q8VH46|AFAP1_RAT
24.6811027526855	23.7491912841797	23.6430625915527	22.711877822876	24.9405574798584	21.3751754760742	tr|Q6AY21|Q6AY21_RAT
22.8384590148926	21.6714172363281	20.0904655456543	19.2876434326172	24.3031272888184	23.3778247833252	Q5PQL7|ITM2C_RAT
26.1546039581299	25.3443508148193	23.2534961700439	22.4750652313232	25.9781475067139	24.5926342010498	P0C5W1|MAP1S_RAT
22.924337387085	21.9601383209229	20.3337421417236	18.9584293365479	22.7160720825195	20.7715282440186	Q64604|PTPRF_RAT
25.7285823822021	24.8904113769531	23.9759635925293	22.4040565490723	24.9405574798584	24.2961406707764	Q8K4Y5|LGI1_RAT
27.3409595489502	26.6594886779785	25.4137706756592	23.2678527832031	28.0243263244629	26.4345989227295	tr|D3ZES7|D3ZES7_RAT
